Variable,Total,,Variable,Death Total,,Variable,Rehosp Total,,Variable,Readmis Total
 FUR_D,2,, EjF_B,1,, BPSYS_B,1,, AOST,0
 MET_D,2,, BPDIAS_B,1,, HR_B,1,, ARRH,0
 MIL_D,2,, BPSYS_D,1,, MAP_B,1,, CABG,0
 NAT_B,2,, PPP_D,1,, MAP_D,1,, CARREST,0
 OTHB_B,2,, Gender,0,, PP_B,1,, COPD,0
 TOP_B,2,, Wt_B,0,, PPRatio_B,1,, CVD,0
 VALSA_B,2,, BMI_B,0,, PPRatio_Chg,1,, CYTOE,0
 EjF_B,2,, AlchE,0,, Gender,0,, DEPR,0
 BPDIAS_B,2,, CABG,0,, Wt_B,0,, DIAB,0
 PPRatio_B,2,, CARREST,0,, Wt_D,0,, FAMILE,0
 CVD,1,, COPD,0,, BMI_B,0,, GOUT,0
 CYTOE,1,, CVD,0,, BMI_D,0,, HEPT,0
 DEPR,1,, CYTOE,0,, AlchE,0,, HTN,0
 DIAB,1,, DEPR,0,, AOREG,0,, HYPERE,0
 GOUT,1,, GOUT,0,, CABG,0,, HTRANS,0
 HEPT,1,, HEPT,0,, COPD,0,, ICD,0
 ISCHD,1,, HTRANS,0,, CVD,0,, ISCHD,0
 MALIG,1,, ICD,0,, DIAB,0,, ISCHEME,0
 OTHUNE,1,, IDIOPE,0,, HTN,0,, MI,0
 PTREG,1,, ISCHD,0,, HTRANS,0,, MTST,0
 PVD,1,, MALIG,0,, ICD,0,, PACE,0
 RENALI,1,, MTST,0,, MALIG,0,, PMRG,0
 SMOKING,1,, OTHUNE,0,, MTST,0,, PTCI,0
 STERD,1,, PACE,0,, OTHUNE,0,, PTREG,0
 SVT,1,, PERIPAE,0,, PACE,0,, PVD,0
 VO2_D,1,, PMRG,0,, PERIPAE,0,, RENALI,0
 ALB_D,1,, PTCI,0,, PMRG,0,, SMOKING,0
 ALT_D,1,, RENALI,0,, PTREG,0,, STROKE,0
 AST_D,1,, SMOKING,0,, PVD,0,, SVT,0
 DIAL_D,1,, STERD,0,, RENALI,0,, TDP,0
 POT_B,1,, STROKE,0,, STERD,0,, TIA,0
 POT_D,1,, TDP,0,, STROKE,0,, VAHD,0
 SOD_B,1,, TIA,0,, SVT,0,, VALVUE,0
 SOD_D,1,, VALVUE,0,, TDP,0,, VF,0
 TOTP_D,1,, VF,0,, VAHD,0,, SixFtWlk_B,0
 ACE_B,1,, VO2_D,0,, VALVUE,0,, VO2_B,0
 DIUR_B,1,, ALB_B,0,, VF,0,, VO2_D,0
 BEN_B,1,, ALB_D,0,, VO2_D,0,, VO2_M3,0
 BUM_D,1,, ALT_B,0,, ALB_D,0,, ALB_D,0
 CAND_B,1,, ALT_D,0,, ALT_B,0,, ALT_B,0
 CAP_B,1,, AST_B,0,, ALT_D,0,, AST_B,0
 CAP_D,1,, AST_D,0,, AST_B,0,, BUN_B,0
 CAR_B,1,, CRT_D,0,, AST_D,0,, DIAL_B,0
 DIGX_D,1,, DIAL_B,0,, DIAL_B,0,, HEC_B,0
 DIN_D,1,, DIAL_D,0,, DIAL_D,0,, HEC_D,0
 DOB_D,1,, HEC_B,0,, HEC_B,0,, HEM_B,0
 DOP_D,1,, HEC_D,0,, HEC_D,0,, HEM_D,0
 ENA_B,1,, HEM_B,0,, HEM_B,0,, PLA_B,0
 LOSA_B,1,, PLA_B,0,, PLA_B,0,, PLA_D,0
 MET_B,1,, PLA_D,0,, PLA_D,0,, POT_B,0
 OTHA_B,1,, POT_B,0,, POT_D,0,, SOD_B,0
 QUI_B,1,, POT_D,0,, SOD_B,0,, TALB_B,0
 QUI_D,1,, SOD_D,0,, SOD_D,0,, TOTP_D,0
 TOP_D,1,, TALB_D,0,, TALB_D,0,, WBC_B,0
 BPSYS_B,1,, TOTP_B,0,, TOTP_D,0,, WBC_D,0
 HR_B,1,, TOTP_D,0,, WBC_B,0,, ACE_B,0
 HR_D,1,, WBC_B,0,, WBC_D,0,, ACE_D,0
 MAP_B,1,, WBC_D,0,, ACE_B,0,, BET_B,0
 PPP_B,1,, BET_B,0,, BET_B,0,, BET_D,0
 PPRatio_Chg,1,, NIT_B,0,, NIT_B,0,, NIT_B,0
 Gender,0,, NIT_D,0,, NIT_D,0,, NIT_D,0
 Wt_B,0,, ANGIO_B,0,, ANGIO_B,0,, ANGIO_B,0
 AlchE,0,, ANGIO_D,0,, ANGIO_D,0,, ANGIO_D,0
 CABG,0,, CINF_B,0,, CINF_B,0,, CINF_B,0
 COPD,0,, CINF_D,0,, DIUR_B,0,, DIUR_B,0
 HTRANS,0,, AMR_B,0,, DIUR_D,0,, AMR_B,0
 ICD,0,, AMR_D,0,, AMR_B,0,, AMR_D,0
 MTST,0,, ATE_B,0,, AMR_D,0,, ATE_B,0
 PACE,0,, ATE_D,0,, ATE_B,0,, ATE_D,0
 PMRG,0,, BEN_B,0,, ATE_D,0,, BEN_B,0
 STROKE,0,, BIS_B,0,, BIS_B,0,, BEN_D,0
 TDP,0,, BIS_D,0,, BIS_D,0,, BIS_B,0
 VALVUE,0,, BUM_B,0,, BUM_B,0,, BIS_D,0
 VF,0,, BUM_D,0,, BUM_D,0,, BUM_B,0
 ALT_B,0,, CAND_B,0,, CAND_B,0,, CAND_B,0
 AST_B,0,, CAND_D,0,, CAND_D,0,, CAND_D,0
 DIAL_B,0,, CAR_D,0,, CAP_B,0,, CAP_B,0
 HEC_B,0,, DIGX_B,0,, CAP_D,0,, CAP_D,0
 HEC_D,0,, DIGX_D,0,, CAR_B,0,, CAR_B,0
 HEM_B,0,, DIN_B,0,, CAR_D,0,, CAR_D,0
 PLA_B,0,, DOB_B,0,, DIGX_B,0,, DIGX_B,0
 PLA_D,0,, DOB_D,0,, DIN_D,0,, DIGX_D,0
 WBC_B,0,, DOP_B,0,, DOB_B,0,, DIN_D,0
 WBC_D,0,, DOP_D,0,, DOB_D,0,, DOB_B,0
 BET_B,0,, ENA_B,0,, DOP_B,0,, DOB_D,0
 NIT_B,0,, ENA_D,0,, DOP_D,0,, DOP_B,0
 NIT_D,0,, ETH_B,0,, ENA_B,0,, ENA_D,0
 ANGIO_B,0,, ETH_D,0,, ENA_D,0,, ETH_B,0
 ANGIO_D,0,, FOS_B,0,, ETH_B,0,, ETH_D,0
 CINF_B,0,, FOS_D,0,, ETH_D,0,, FOS_B,0
 AMR_B,0,, LIS_B,0,, FOS_B,0,, FOS_D,0
 AMR_D,0,, LOSA_B,0,, FOS_D,0,, FUR_B,0
 ATE_B,0,, LOSA_D,0,, FUR_D,0,, LIS_B,0
 ATE_D,0,, MET_B,0,, LIS_B,0,, LIS_D,0
 BIS_B,0,, MIL_B,0,, LOSA_D,0,, LOSA_B,0
 BIS_D,0,, MIL_D,0,, MET_B,0,, LOSA_D,0
 BUM_B,0,, MON_D,0,, MET_D,0,, MET_B,0
 CAND_D,0,, NAT_B,0,, MIL_B,0,, MET_D,0
 CAR_D,0,, NAT_D,0,, MIL_D,0,, MIL_B,0
 DIGX_B,0,, NIG_B,0,, NAT_B,0,, MON_B,0
 DOB_B,0,, NIG_D,0,, NAT_D,0,, NAT_D,0
 DOP_B,0,, NIP_B,0,, NIG_B,0,, NIG_B,0
 ENA_D,0,, NIP_D,0,, NIG_D,0,, NIG_D,0
 ETH_B,0,, OTHAA_B,0,, NIP_B,0,, NIP_B,0
 ETH_D,0,, OTHAA_D,0,, NIP_D,0,, NIP_D,0
 FOS_B,0,, OTHA_B,0,, OTHAA_B,0,, OTHAA_B,0
 FOS_D,0,, OTHA_D,0,, OTHAA_D,0,, OTHAA_D,0
 LIS_B,0,, OTHB_D,0,, OTHA_B,0,, OTHA_D,0
 LOSA_D,0,, OTHD_B,0,, OTHA_D,0,, OTHB_D,0
 MIL_B,0,, OTHD_D,0,, OTHB_B,0,, OTHD_B,0
 NAT_D,0,, PRO_B,0,, OTHB_D,0,, OTHD_D,0
 NIG_B,0,, PRO_D,0,, OTHD_B,0,, PRO_B,0
 NIG_D,0,, QUI_B,0,, OTHD_D,0,, PRO_D,0
 NIP_B,0,, QUI_D,0,, PRO_B,0,, QUI_D,0
 NIP_D,0,, RAM_B,0,, PRO_D,0,, RAM_B,0
 OTHAA_B,0,, RAM_D,0,, QUI_B,0,, RAM_D,0
 OTHAA_D,0,, TOP_D,0,, RAM_B,0,, TOP_B,0
 OTHA_D,0,, TOR_B,0,, RAM_D,0,, TOP_D,0
 OTHB_D,0,, TRA_B,0,, TOR_B,0,, TOR_B,0
 OTHD_B,0,, TRA_D,0,, TOR_D,0,, TRA_B,0
 OTHD_D,0,, BPSYS_B,0,, TRA_B,0,, TRA_D,0
 PRO_B,0,, HR_B,0,, TRA_D,0,, BPSYS_B,0
 PRO_D,0,, HR_D,0,, VALSA_B,0,, BPSYS_D,0
 RAM_B,0,, PV,0,, EjF_B,0,, HR_B,0
 RAM_D,0,, MAP_B,0,, BPDIAS_B,0,, HR_D,0
 TOR_B,0,, MAP_Chg,0,, BPDIAS_D,0,, PV,0
 TRA_B,0,, PP_B,0,, HR_D,0,, MAP_B,0
 TRA_D,0,, PP_Chg,0,, PV,0,, MAP_D,0
 PV,0,, PPP_B,0,, MAP_Chg,0,, MAP_Chg,0
 MAP_Chg,0,, PPP_Chg,0,, PP_Chg,0,, PP_Chg,0
 PP_Chg,0,, PPRatio_B,0,, PPP_B,0,, PPP_Chg,0
 PPP_Chg,0,, PPRatio_Chg,0,, PPP_Chg,0,, PPRatio_Chg,0
